Wall time,Step,Value
1678142716.0953758,2560,0.0
1678142721.9369352,5120,0.0
1678142727.7761283,7680,0.0
1678142733.6157286,10240,0.25
1678142739.6127975,12800,0.5
1678142745.510297,15360,0.5
1678142751.3805406,17920,0.5
1678142757.0910826,20480,0.5
1678142762.9944708,23040,0.5
1678142768.7203884,25600,0.5
1678142774.62305,28160,0.5
1678142780.6470008,30720,0.5
1678142786.4942913,33280,0.75
1678142792.2826164,35840,0.75
1678142798.150896,38400,0.75
1678142804.398106,40960,0.75
1678142810.312718,43520,0.5
1678142816.1402376,46080,0.5
1678142822.0281212,48640,0.75
1678142827.6742923,51200,0.75
1678142833.6644208,53760,0.75
1678142839.5446093,56320,1.0
1678142845.3303099,58880,0.75
1678142851.2085567,61440,0.75
1678142857.0284984,64000,0.5
1678142862.9713352,66560,0.75
1678142868.888118,69120,0.5
1678142874.665251,71680,0.75
1678142880.3913393,74240,0.75
1678142886.1759865,76800,0.75
1678142891.9985538,79360,1.0
1678142897.8626554,81920,0.75
1678142903.560886,84480,0.75
1678142909.278545,87040,0.75
1678142915.1736438,89600,0.75
1678142920.9014494,92160,0.75
1678142926.7397006,94720,1.0
1678142932.441691,97280,1.0
1678142938.451579,99840,1.0
1678142944.2034538,102400,1.0
1678142950.0218022,104960,0.75
1678142955.9452152,107520,0.75
1678142961.6990604,110080,0.75
1678142967.3671696,112640,1.0
1678142973.1076505,115200,0.75
1678142979.0654237,117760,0.75
1678142984.6141207,120320,0.75
1678142990.3040679,122880,1.0
1678142995.9991183,125440,1.0
1678143001.678624,128000,1.0
1678143007.548522,130560,1.0
1678143013.2608583,133120,1.0
1678143019.1174228,135680,0.75
1678143024.8629506,138240,0.75
1678143030.7342358,140800,0.75
1678143036.7218523,143360,0.5
1678143042.7150073,145920,0.5
1678143048.7226615,148480,0.5
1678143054.545018,151040,0.5
1678143060.450333,153600,0.75
1678143066.3191888,156160,0.75
1678143072.0700083,158720,1.0
1678143077.805801,161280,1.0
1678143083.6311426,163840,0.75
1678143089.3863757,166400,0.75
1678143095.2245266,168960,0.75
1678143100.9875517,171520,1.0
1678143106.7687578,174080,0.75
1678143112.5047634,176640,0.75
1678143118.3751862,179200,1.0
1678143124.0935476,181760,1.0
1678143129.6856344,184320,1.0
1678143135.5496125,186880,1.0
1678143141.1108541,189440,1.0
1678143146.812093,192000,1.0
1678143152.5513773,194560,1.0
1678143158.4404166,197120,0.75
1678143164.345056,199680,1.0
1678143170.1994243,202240,1.0
1678143176.0565853,204800,1.0
1678143181.7493563,207360,1.0
1678143187.6965067,209920,1.0
1678143193.624634,212480,1.0
1678143199.413775,215040,1.0
1678143205.2820666,217600,1.0
1678143211.3622732,220160,1.0
1678143217.130306,222720,1.0
1678143222.9164095,225280,1.0
1678143228.845184,227840,0.75
1678143234.7208707,230400,1.0
1678143240.509207,232960,0.75
1678143246.2026281,235520,1.0
1678143252.0456364,238080,1.0
1678143257.8375278,240640,1.0
1678143263.4034498,243200,1.0
1678143269.294239,245760,1.0
1678143275.1756773,248320,1.0
1678143280.9454887,250880,1.0
1678143286.6800997,253440,1.0
1678143292.4671137,256000,1.0
1678143298.2429447,258560,1.0
1678143304.0751112,261120,1.0
1678143309.9132974,263680,1.0
1678143315.8705158,266240,1.0
1678143321.9150155,268800,1.0
1678143327.6942132,271360,1.0
1678143333.5100842,273920,1.0
1678143339.3146155,276480,0.75
1678143345.0036645,279040,0.75
1678143350.9843543,281600,0.75
1678143356.6814148,284160,1.0
1678143362.4548182,286720,1.0
1678143368.4748497,289280,0.5
1678143374.3401291,291840,0.75
1678143380.1501913,294400,0.75
1678143385.9629517,296960,0.75
1678143391.8369415,299520,0.75
1678143397.6918602,302080,0.5
1678143403.385495,304640,0.5
1678143409.1776571,307200,1.0
1678143415.0303702,309760,1.0
1678143420.9325185,312320,1.0
1678143426.7889466,314880,1.0
1678143432.3006551,317440,1.0
1678143438.2912712,320000,1.0
1678143444.2499464,322560,1.0
1678143450.1630588,325120,1.0
1678143456.2009242,327680,1.0
1678143462.3942327,330240,0.75
1678143468.1595244,332800,0.75
1678143473.937761,335360,0.75
1678143479.8198383,337920,0.75
1678143485.9171927,340480,1.0
1678143491.6278021,343040,1.0
