Wall time,Step,Value
1678142716.0953617,2560,0.0
1678142721.9369223,5120,0.0
1678142727.7761066,7680,0.0
1678142733.615711,10240,0.25
1678142739.6127741,12800,0.25
1678142745.510279,15360,0.25
1678142751.3805225,17920,0.25
1678142757.0910647,20480,0.5
1678142762.9944587,23040,0.5
1678142768.7203705,25600,0.5
1678142774.6230314,28160,0.5
1678142780.6469862,30720,0.5
1678142786.4942687,33280,1.0
1678142792.2825985,35840,1.0
1678142798.1508749,38400,1.0
1678142804.3980887,40960,1.0
1678142810.312697,43520,0.75
1678142816.1402206,46080,0.75
1678142822.0281045,48640,0.75
1678142827.6742802,51200,0.75
1678142833.6643949,53760,0.75
1678142839.5445921,56320,0.75
1678142845.3302867,58880,1.0
1678142851.208543,61440,1.0
1678142857.0284812,64000,1.0
1678142862.9713116,66560,0.75
1678142868.8880973,69120,0.75
1678142874.6652336,71680,1.0
1678142880.3913221,74240,1.0
1678142886.175973,76800,1.0
1678142891.9985352,79360,1.0
1678142897.8626428,81920,1.0
1678142903.5608728,84480,1.0
1678142909.278528,87040,1.0
1678142915.1736267,89600,1.0
1678142920.9014323,92160,1.0
1678142926.7396789,94720,1.0
1678142932.441678,97280,1.0
1678142938.4515617,99840,1.0
1678142944.2034295,102400,1.0
1678142950.021773,104960,1.0
1678142955.9451969,107520,1.0
1678142961.6990387,110080,1.0
1678142967.3671525,112640,1.0
1678142973.1076312,115200,1.0
1678142979.065407,117760,1.0
1678142984.6141038,120320,1.0
1678142990.3040514,122880,1.0
1678142995.9990902,125440,1.0
1678143001.678609,128000,1.0
1678143007.548505,130560,1.0
1678143013.2608411,133120,0.75
1678143019.117405,135680,0.75
1678143024.8629391,138240,1.0
1678143030.7342167,140800,1.0
1678143036.7218294,143360,1.0
1678143042.7149959,145920,1.0
1678143048.7226427,148480,1.0
1678143054.5450056,151040,1.0
1678143060.4503117,153600,1.0
1678143066.3191755,156160,1.0
1678143072.069991,158720,1.0
1678143077.8057897,161280,0.75
1678143083.6311252,163840,0.75
1678143089.386354,166400,0.75
1678143095.2245154,168960,0.75
1678143100.9875345,171520,0.75
1678143106.7687407,174080,1.0
1678143112.504735,176640,1.0
1678143118.375169,179200,1.0
1678143124.09353,181760,1.0
1678143129.6856124,184320,1.0
1678143135.549591,186880,1.0
1678143141.1108434,189440,1.0
1678143146.8120797,192000,1.0
1678143152.5513527,194560,1.0
1678143158.4403934,197120,1.0
1678143164.3450387,199680,0.75
1678143170.1994116,202240,0.75
1678143176.0565658,204800,1.0
1678143181.749327,207360,1.0
1678143187.696481,209920,1.0
1678143193.624607,212480,1.0
1678143199.4137511,215040,1.0
1678143205.2820451,217600,1.0
1678143211.362253,220160,1.0
1678143217.1302843,222720,1.0
1678143222.9163935,225280,1.0
1678143228.8451586,227840,0.75
1678143234.720854,230400,1.0
1678143240.5091782,232960,0.75
1678143246.2026112,235520,1.0
1678143252.0456178,238080,0.75
1678143257.8375077,240640,0.75
1678143263.4034379,243200,0.75
1678143269.2942147,245760,0.75
1678143275.175655,248320,0.5
1678143280.9454648,250880,0.5
1678143286.6800818,253440,0.5
1678143292.4670968,256000,1.0
1678143298.242932,258560,1.0
1678143304.0750961,261120,0.75
1678143309.9132757,263680,0.75
1678143315.870504,266240,1.0
1678143321.9149985,268800,0.75
1678143327.6941888,271360,0.75
1678143333.5100667,273920,0.75
1678143339.3145978,276480,0.75
1678143345.0036414,279040,1.0
1678143350.984341,281600,1.0
1678143356.6813974,284160,1.0
1678143362.454797,286720,1.0
1678143368.474833,289280,1.0
1678143374.340112,291840,0.75
1678143380.1501737,294400,0.75
1678143385.962935,296960,1.0
1678143391.8369298,299520,1.0
1678143397.691843,302080,0.75
1678143403.3854785,304640,0.75
1678143409.177633,307200,0.75
1678143415.0303464,309760,0.75
1678143420.932505,312320,1.0
1678143426.7889347,314880,1.0
1678143432.300634,317440,0.75
1678143438.2912536,320000,0.75
1678143444.2499297,322560,0.75
1678143450.1630461,325120,0.75
1678143456.2009006,327680,1.0
1678143462.3942204,330240,1.0
1678143468.1595118,332800,1.0
1678143473.9377375,335360,1.0
1678143479.8198216,337920,1.0
1678143485.9171674,340480,0.75
1678143491.6277912,343040,0.75
1678143497.37718,345600,1.0
1678143503.1845343,348160,1.0
1678143508.8428798,350720,1.0
1678143514.681838,353280,1.0
1678143520.531722,355840,1.0
1678143526.572696,358400,0.5
1678143532.4701495,360960,0.5
1678143538.1908023,363520,1.0
1678143544.1869001,366080,0.75
1678143549.9044218,368640,0.75
1678143555.6583421,371200,0.75
1678143561.348931,373760,0.75
1678143567.0211213,376320,1.0
1678143572.770516,378880,1.0
1678143578.6054866,381440,0.75
1678143584.4652994,384000,0.75
1678143590.1389933,386560,0.75
1678143595.9051995,389120,1.0
1678143601.5945756,391680,1.0
1678143607.4099872,394240,1.0
1678143613.4089103,396800,1.0
1678143619.100549,399360,0.75
1678143624.9630332,401920,0.75
1678143630.844953,404480,0.75
1678143636.5773437,407040,0.75
1678143642.3408604,409600,1.0
1678143648.0834231,412160,0.75
1678143653.965933,414720,0.75
1678143659.755231,417280,0.75
1678143665.5226166,419840,0.75
1678143671.2586706,422400,1.0
1678143677.0721111,424960,1.0
1678143682.819158,427520,1.0
1678143688.6623425,430080,1.0
1678143694.6233895,432640,1.0
1678143700.6612577,435200,1.0
1678143706.6870677,437760,1.0
1678143712.476236,440320,0.75
1678143718.236847,442880,1.0
1678143724.0203838,445440,1.0
1678143729.7852657,448000,1.0
1678143735.1416252,450560,1.0
1678143740.882367,453120,0.75
1678143746.676867,455680,0.75
1678143752.443552,458240,0.75
1678143758.31324,460800,1.0
1678143764.3121312,463360,0.75
1678143769.8913722,465920,0.75
1678143775.8032048,468480,1.0
1678143781.4964247,471040,1.0
1678143787.237894,473600,0.75
1678143793.0236597,476160,1.0
1678143798.8214808,478720,0.75
1678143804.7399168,481280,0.75
1678143810.544325,483840,0.75
1678143816.2307181,486400,1.0
1678143822.0187144,488960,1.0
1678143827.8082836,491520,1.0
1678143833.614919,494080,1.0
1678143839.6220272,496640,0.75
1678143845.4733245,499200,1.0
1678143851.1763341,501760,0.75
1678143856.9852066,504320,0.5
1678143862.8251426,506880,1.0
1678143868.5050263,509440,1.0
1678143874.3540993,512000,0.75
1678143879.9507468,514560,0.75
1678143885.9094067,517120,0.75
1678143891.8212004,519680,0.75
1678143897.7400641,522240,0.6000000238418579
1678143903.5539274,524800,0.75
1678143909.4293416,527360,1.0
1678143915.255554,529920,0.75
1678143921.0322258,532480,0.75
1678143926.8532603,535040,0.5
1678143932.630785,537600,0.75
1678143938.451791,540160,0.6000000238418579
1678143944.2967646,542720,0.75
1678143950.0477421,545280,1.0
1678143955.768134,547840,1.0
1678143961.490581,550400,1.0
1678143967.2939556,552960,0.75
1678143972.6885927,555520,0.75
1678143978.5603576,558080,1.0
1678143984.3665314,560640,0.75
1678143990.1940758,563200,0.75
1678143995.6919193,565760,0.75
1678144001.6199815,568320,0.75
1678144007.3828235,570880,0.5
1678144013.2739801,573440,0.75
1678144019.084085,576000,1.0
1678144024.8573606,578560,0.75
1678144030.6699555,581120,1.0
1678144036.4009583,583680,1.0
1678144042.1047447,586240,1.0
1678144047.9739234,588800,1.0
1678144053.5840943,591360,0.75
1678144059.426938,593920,0.75
1678144065.2469344,596480,0.75
1678144071.0186138,599040,0.75
1678144076.7360196,601600,0.75
1678144082.325042,604160,1.0
1678144088.200872,606720,1.0
1678144094.018383,609280,1.0
1678144099.8068008,611840,0.75
1678144105.4616804,614400,0.75
1678144111.20142,616960,1.0
1678144116.998303,619520,1.0
1678144122.725417,622080,1.0
1678144128.5352898,624640,1.0
1678144134.3627465,627200,1.0
1678144140.2259052,629760,1.0
1678144145.9327404,632320,1.0
1678144151.5767648,634880,1.0
1678144157.378756,637440,1.0
1678144163.245479,640000,1.0
1678144168.8755121,642560,1.0
1678144174.7087502,645120,1.0
1678144180.496109,647680,1.0
1678144186.2364275,650240,1.0
1678144191.851589,652800,1.0
1678144197.775709,655360,1.0
1678144203.4056935,657920,1.0
1678144209.2108498,660480,1.0
1678144215.0257044,663040,1.0
1678144220.7772515,665600,0.75
1678144226.5721538,668160,0.75
1678144232.3318255,670720,0.75
1678144238.0491652,673280,0.75
1678144244.047033,675840,1.0
1678144249.7974145,678400,1.0
1678144255.4523275,680960,1.0
1678144261.1089785,683520,1.0
1678144266.979463,686080,1.0
1678144272.6935706,688640,1.0
1678144278.4337585,691200,1.0
1678144284.1512144,693760,1.0
1678144289.8959203,696320,1.0
1678144295.683226,698880,1.0
1678144301.543942,701440,0.75
1678144307.2479174,704000,1.0
1678144312.9854913,706560,1.0
1678144318.8091118,709120,1.0
1678144324.5625815,711680,0.75
1678144330.3369396,714240,0.75
1678144336.1499436,716800,0.800000011920929
1678144341.791069,719360,1.0
1678144347.459764,721920,1.0
1678144353.0526435,724480,1.0
1678144358.8140562,727040,1.0
1678144364.3508904,729600,0.800000011920929
1678144370.195785,732160,0.75
1678144375.6390257,734720,0.75
1678144381.4290342,737280,1.0
1678144387.0921938,739840,1.0
1678144392.9024072,742400,1.0
1678144398.5871918,744960,0.75
1678144404.3401322,747520,1.0
1678144410.2025697,750080,0.75
1678144416.2142267,752640,0.75
1678144422.0276825,755200,0.5
1678144427.7378688,757760,0.75
1678144433.5168118,760320,0.5
1678144439.3332102,762880,0.5
1678144445.136855,765440,1.0
1678144450.9866376,768000,1.0
1678144456.886404,770560,1.0
1678144462.6032305,773120,1.0
1678144468.2742026,775680,0.75
1678144473.9786587,778240,1.0
1678144479.9992604,780800,0.75
1678144485.7932837,783360,0.75
1678144491.3950794,785920,1.0
1678144497.1792114,788480,1.0
1678144502.9867947,791040,1.0
1678144508.73201,793600,1.0
1678144514.3627179,796160,1.0
1678144520.1251957,798720,0.75
1678144526.0176463,801280,0.5
1678144531.8210719,803840,0.75
1678144537.7191617,806400,0.75
1678144543.4439726,808960,0.75
1678144549.025368,811520,0.75
1678144554.8906822,814080,0.75
1678144560.6062346,816640,0.75
1678144566.4248238,819200,1.0
1678144572.111428,821760,0.75
1678144577.882756,824320,1.0
1678144583.8803651,826880,1.0
1678144589.5732,829440,0.75
1678144595.4599993,832000,0.75
1678144601.2503521,834560,0.75
1678144607.3659275,837120,1.0
1678144613.3678281,839680,0.75
1678144619.0453372,842240,1.0
1678144624.9232259,844800,0.6000000238418579
1678144630.859644,847360,0.75
1678144636.8720787,849920,0.6000000238418579
1678144642.8144834,852480,0.5
1678144648.5979471,855040,0.75
1678144654.489529,857600,1.0
1678144660.2525606,860160,1.0
1678144665.9722822,862720,1.0
1678144671.620811,865280,1.0
1678144677.3118606,867840,1.0
1678144683.1653314,870400,1.0
1678144689.0454624,872960,1.0
1678144694.7244124,875520,1.0
1678144700.459075,878080,0.5
1678144706.1595383,880640,0.75
1678144712.0514941,883200,1.0
1678144717.952495,885760,0.75
1678144723.461576,888320,0.75
1678144729.2342353,890880,1.0
1678144735.1170547,893440,0.5
1678144740.9738,896000,0.75
1678144747.2941933,898560,1.0
1678144753.2914803,901120,1.0
1678144759.088582,903680,1.0
1678144764.9648628,906240,0.75
1678144770.8273482,908800,0.75
1678144776.7397928,911360,0.75
