Wall time,Step,Value
1678142716.0953877,2560,0.0
1678142721.9369473,5120,0.0
1678142727.7761488,7680,0.0
1678142733.6157455,10240,0.25
1678142739.6128204,12800,0.5
1678142745.5103147,15360,0.5
1678142751.380558,17920,0.5
1678142757.0911002,20480,0.5
1678142762.994483,23040,0.5
1678142768.7204058,25600,0.5
1678142774.6230686,28160,0.5
1678142780.6470134,30720,0.5
1678142786.4943128,33280,0.75
1678142792.2826335,35840,0.75
1678142798.1509175,38400,0.75
1678142804.398123,40960,0.5
1678142810.3127384,43520,0.75
1678142816.1402543,46080,0.75
1678142822.0281384,48640,0.5
1678142827.6743038,51200,0.5
1678142833.664445,53760,0.5
1678142839.5446267,56320,0.75
1678142845.3303328,58880,0.75
1678142851.2085695,61440,0.75
1678142857.0285153,64000,0.75
1678142862.9713576,66560,0.75
1678142868.888139,69120,0.75
1678142874.6652684,71680,1.0
1678142880.3913567,74240,1.0
1678142886.1760077,76800,1.0
1678142891.9985719,79360,1.0
1678142897.8626676,81920,1.0
1678142903.5608976,84480,1.0
1678142909.278562,87040,1.0
1678142915.1736603,89600,1.0
1678142920.901466,92160,1.0
1678142926.7397223,94720,0.75
1678142932.4417033,97280,0.75
1678142938.4515975,99840,0.75
1678142944.2034779,102400,1.0
1678142950.0218315,104960,1.0
1678142955.945233,107520,1.0
1678142961.6990817,110080,1.0
1678142967.3671865,112640,1.0
1678142973.1076698,115200,1.0
1678142979.0654414,117760,1.0
1678142984.6141376,120320,1.0
1678142990.3040843,122880,1.0
1678142995.999146,125440,1.0
1678143001.6786437,128000,0.75
1678143007.5485387,130560,0.75
1678143013.2608743,133120,1.0
1678143019.1174436,135680,1.0
1678143024.8629622,138240,1.0
1678143030.7342544,140800,1.0
1678143036.721875,143360,1.0
1678143042.7150185,145920,1.0
1678143048.7226794,148480,1.0
1678143054.5450299,151040,1.0
1678143060.4503534,153600,1.0
1678143066.3192015,156160,1.0
1678143072.0700254,158720,0.75
1678143077.805812,161280,0.75
1678143083.6311598,163840,0.5
1678143089.386397,166400,0.5
1678143095.2245378,168960,0.5
1678143100.9875696,171520,1.0
1678143106.7687747,174080,1.0
1678143112.5047922,176640,1.0
1678143118.375203,179200,1.0
1678143124.0935647,181760,1.0
1678143129.6856556,184320,1.0
1678143135.5496335,186880,1.0
1678143141.1108685,189440,1.0
1678143146.8121068,192000,1.0
1678143152.5514014,194560,1.0
1678143158.4404392,197120,1.0
1678143164.345073,199680,0.75
1678143170.1994364,202240,0.75
1678143176.0566044,204800,0.75
1678143181.749378,207360,0.75
1678143187.6965325,209920,0.75
1678143193.6246607,212480,0.75
1678143199.4137976,215040,1.0
1678143205.2820876,217600,1.0
1678143211.36229,220160,0.75
1678143217.1303272,222720,0.75
1678143222.9164255,225280,0.75
1678143228.845209,227840,1.0
1678143234.7208867,230400,1.0
1678143240.5092356,232960,0.75
1678143246.202645,235520,0.75
1678143252.045654,238080,0.75
1678143257.837548,240640,0.75
1678143263.4034612,243200,0.5
1678143269.294263,245760,0.5
1678143275.1756985,248320,1.0
1678143280.9455123,250880,1.0
1678143286.6801171,253440,1.0
1678143292.4671304,256000,1.0
1678143298.2429574,258560,1.0
1678143304.0751257,261120,1.0
1678143309.9133182,263680,1.0
1678143315.8705277,266240,1.0
1678143321.9150321,268800,1.0
1678143327.694237,271360,1.0
1678143333.5101008,273920,1.0
1678143339.3146324,276480,1.0
1678143345.003687,279040,1.0
1678143350.9843662,281600,1.0
1678143356.6814313,284160,0.75
1678143362.4548395,286720,0.75
1678143368.4748664,289280,0.75
1678143374.3401465,291840,1.0
1678143380.150208,294400,1.0
1678143385.962968,296960,1.0
1678143391.8369532,299520,1.0
1678143397.6918766,302080,1.0
1678143403.3855112,304640,1.0
1678143409.1776805,307200,1.0
1678143415.0303946,309760,1.0
1678143420.9325316,312320,1.0
1678143426.788962,314880,1.0
1678143432.3006766,317440,1.0
1678143438.2912881,320000,1.0
1678143444.249963,322560,1.0
1678143450.163076,325120,1.0
1678143456.2009473,327680,1.0
1678143462.394245,330240,0.75
1678143468.1595364,332800,0.75
1678143473.9377844,335360,1.0
1678143479.8198545,337920,1.0
1678143485.9172194,340480,0.75
1678143491.6278133,343040,0.75
1678143497.3772137,345600,1.0
1678143503.184581,348160,0.75
1678143508.8429043,350720,0.75
1678143514.681871,353280,0.75
1678143520.5317645,355840,0.75
1678143526.57273,358400,1.0
1678143532.4701786,360960,0.75
1678143538.190844,363520,0.75
1678143544.1869454,366080,0.75
1678143549.9044456,368640,1.0
1678143555.658378,371200,0.75
1678143561.3489716,373760,1.0
1678143567.0211535,376320,1.0
1678143572.7705615,378880,1.0
1678143578.60552,381440,0.75
1678143584.465332,384000,0.75
1678143590.1390262,386560,0.75
1678143595.9052324,389120,1.0
1678143601.594618,391680,1.0
1678143607.4100208,394240,1.0
1678143613.408934,396800,1.0
1678143619.1005821,399360,0.75
1678143624.9630675,401920,0.75
1678143630.8449957,404480,0.5
1678143636.5773938,407040,0.5
1678143642.340894,409600,1.0
1678143648.083466,412160,1.0
1678143653.9659677,414720,1.0
1678143659.755277,417280,1.0
1678143665.522643,419840,0.75
1678143671.2587047,422400,0.75
1678143677.0721443,424960,0.75
1678143682.8191905,427520,0.5
1678143688.6623828,430080,0.75
1678143694.6234357,432640,1.0
1678143700.6612918,435200,1.0
1678143706.687091,437760,0.75
1678143712.4762793,440320,0.75
1678143718.2368693,442880,0.75
1678143724.0204163,445440,0.75
1678143729.7853005,448000,1.0
1678143735.141671,450560,0.75
1678143740.8824008,453120,0.75
1678143746.6768904,455680,0.75
1678143752.4435997,458240,0.75
1678143758.3132663,460800,1.0
1678143764.3121772,463360,1.0
1678143769.891405,465920,1.0
1678143775.8032384,468480,0.5
1678143781.4964604,471040,0.75
1678143787.2379165,473600,1.0
1678143793.0236926,476160,0.75
1678143798.821514,478720,0.75
1678143804.7399518,481280,0.75
1678143810.5443585,483840,0.75
1678143816.2307515,486400,0.75
1678143822.0187495,488960,0.75
1678143827.8083181,491520,0.75
1678143833.6149526,494080,0.75
1678143839.6220613,496640,1.0
1678143845.4733877,499200,1.0
1678143851.176371,501760,1.0
1678143856.985253,504320,0.75
1678143862.8251755,506880,1.0
1678143868.5050588,509440,0.75
1678143874.354145,512000,0.75
1678143879.9507937,514560,0.75
1678143885.9094427,517120,1.0
1678143891.8212357,519680,0.75
1678143897.7401052,522240,0.4000000059604645
1678143903.553959,524800,0.5
1678143909.4293916,527360,0.6000000238418579
1678143915.2556014,529920,0.75
1678143921.0322597,532480,1.0
1678143926.8532937,535040,1.0
1678143932.6308188,537600,0.75
1678143938.4518158,540160,0.800000011920929
1678143944.2968116,542720,0.75
1678143950.0477786,545280,0.75
1678143955.768169,547840,0.75
1678143961.4906142,550400,0.75
1678143967.2940013,552960,0.75
1678143972.6886175,555520,0.75
1678143978.5604012,558080,1.0
1678143984.366578,560640,1.0
1678143990.19411,563200,0.75
1678143995.6919646,565760,0.75
