Wall time,Step,Value
1677972719.6291614,2560,-0.2678801119327545
1677972721.2734249,5120,-0.26810792088508606
1677972722.973102,7680,-0.22314396500587463
1677972724.50805,10240,-0.1399165689945221
1677972726.1524985,12800,-0.1831320971250534
1677972727.7890146,15360,-0.13266192376613617
1677972729.326249,17920,-0.06125224381685257
1677972730.9741125,20480,-0.1753513216972351
1677972732.5511806,23040,-0.1030915379524231
1677972734.2214038,25600,-0.128268301486969
1677972735.8615358,28160,-0.14777988195419312
1677972737.3885372,30720,-0.1916150599718094
1677972739.0709918,33280,-0.11441490799188614
1677972740.7829318,35840,-0.01636430062353611
1677972742.3825312,38400,-0.05672689899802208
1677972744.0772235,40960,-0.08387964963912964
1677972745.6426404,43520,-0.01913977973163128
1677972747.2576776,46080,-0.04302937909960747
1677972748.840331,48640,-0.03770371153950691
1677972750.5809941,51200,-0.036836717277765274
1677972752.208162,53760,-0.06447102129459381
1677972753.8697107,56320,-0.03567087650299072
1677972755.5297146,58880,-0.06678108125925064
1677972757.1620264,61440,-0.11716560274362564
1677972758.8719985,64000,-0.10172341763973236
1677972760.5402327,66560,-0.04148097708821297
1677972762.18094,69120,-0.1280083805322647
1677972763.8451264,71680,-0.0564114935696125
1677972765.5253782,74240,-0.026962848380208015
1677972767.2149181,76800,-0.013377247378230095
1677972768.7674718,79360,-0.072898730635643
1677972770.5707235,81920,-0.02741941250860691
1677972772.273227,84480,-0.018572639673948288
1677972774.0310652,87040,-0.03681626915931702
1677972775.7078314,89600,-0.03652581572532654
1677972777.269511,92160,-0.05173682048916817
1677972778.8553724,94720,-0.003517240285873413
1677972780.4666119,97280,-0.0905039831995964
1677972782.0037227,99840,-0.013132249936461449
1677972783.581426,102400,0.0005950420163571835
1677972785.229935,104960,-0.006494379602372646
1677972786.907352,107520,-0.023632554337382317
1677972788.6125581,110080,-0.0787404403090477
1677972790.2712667,112640,0.002425334881991148
1677972791.8845184,115200,-0.01260150596499443
1677972793.4724324,117760,-0.04815734177827835
1677972795.1214533,120320,-0.007977097295224667
1677972796.757974,122880,-0.0008466075523756444
1677972798.3815074,125440,-0.008965525776147842
1677972799.9822233,128000,-0.11741969734430313
1677972801.616796,130560,-0.0755319893360138
1677972803.243422,133120,0.05014517530798912
1677972804.8451698,135680,0.05247850343585014
1677972806.6138706,138240,-0.01355571486055851
1677972808.3301013,140800,0.04928680136799812
1677972809.9118557,143360,-0.07004491239786148
1677972811.6605752,145920,-0.04319725185632706
1677972813.3144157,148480,0.005357599351555109
1677972815.0205736,151040,0.018108230084180832
1677972816.768492,153600,-0.0705239474773407
1677972818.4060779,156160,-0.04727150499820709
1677972820.0610847,158720,0.010090378113090992
1677972821.8204637,161280,-0.010385475121438503
1677972823.5353103,163840,-0.009515542536973953
1677972825.2130814,166400,0.061401642858982086
1677972826.6858597,168960,-0.04792812094092369
1677972828.3399072,171520,0.10514146834611893
1677972829.9965281,174080,-0.06811081618070602
