Wall time,Step,Value
1678142716.0953493,2560,0.0
1678142721.93691,5120,0.0
1678142727.7760842,7680,0.0
1678142733.6156926,10240,0.25
1678142739.6127496,12800,0.25
1678142745.5102599,15360,0.25
1678142751.3805041,17920,0.25
1678142757.0910456,20480,0.25
1678142762.9944458,23040,0.25
1678142768.7203522,25600,0.25
1678142774.623012,28160,0.25
1678142780.6469715,30720,0.25
1678142786.494246,33280,0.75
1678142792.2825756,35840,0.5
1678142798.1508512,38400,0.5
1678142804.3980703,40960,0.75
1678142810.312675,43520,0.75
1678142816.1402035,46080,0.75
1678142822.0280843,48640,1.0
1678142827.674268,51200,1.0
1678142833.6643682,53760,1.0
1678142839.544571,56320,1.0
1678142845.3302622,58880,0.75
1678142851.208529,61440,0.75
1678142857.0284636,64000,0.75
1678142862.9712875,66560,1.0
1678142868.8880746,69120,1.0
1678142874.6652157,71680,1.0
1678142880.3913043,74240,1.0
1678142886.1759608,76800,1.0
1678142891.998516,79360,1.0
1678142897.8626301,81920,0.75
1678142903.5608606,84480,1.0
1678142909.27851,87040,1.0
1678142915.1736088,89600,1.0
1678142920.9014146,92160,1.0
1678142926.7396564,94720,1.0
1678142932.4416647,97280,1.0
1678142938.4515436,99840,1.0
1678142944.2034056,102400,1.0
1678142950.0217435,104960,1.0
1678142955.9451773,107520,1.0
1678142961.6990163,110080,1.0
1678142967.3671339,112640,1.0
1678142973.1076105,115200,0.75
1678142979.0653896,117760,0.75
1678142984.614086,120320,0.75
1678142990.3040335,122880,1.0
1678142995.9990604,125440,1.0
1678143001.6785972,128000,0.75
1678143007.5484874,130560,0.75
1678143013.2608235,133120,0.75
1678143019.1173892,135680,0.75
1678143024.8629272,138240,1.0
1678143030.7341967,140800,1.0
1678143036.7218049,143360,1.0
1678143042.7149844,145920,1.0
1678143048.7226238,148480,1.0
1678143054.5449924,151040,1.0
1678143060.4502892,153600,1.0
1678143066.3191612,156160,1.0
1678143072.069973,158720,0.5
1678143077.8057783,161280,0.5
1678143083.631107,163840,0.5
1678143089.386331,166400,0.5
1678143095.2245033,168960,0.5
1678143100.9875164,171520,1.0
1678143106.7687232,174080,0.75
1678143112.504706,176640,0.75
1678143118.3751512,179200,0.75
1678143124.0935113,181760,0.75
1678143129.6855905,184320,0.75
1678143135.5495749,186880,0.75
1678143141.110832,189440,1.0
1678143146.812067,192000,1.0
1678143152.5513275,194560,0.75
